Distancia(m)	Amplitude
23.0030	0.0674
23.0330	0.0672
23.0631	0.0669
23.0931	0.0667
23.1231	0.0664
23.1532	0.0662
23.1832	0.0660
23.2132	0.0657
23.2432	0.0655
23.2733	0.0653
23.3033	0.0650
23.3333	0.0648
23.3634	0.0646
23.3934	0.0643
23.4234	0.0641
23.4535	0.0639
23.4835	0.0636
23.5135	0.0634
23.5435	0.0632
23.5736	0.0630
23.6036	0.0627
23.6336	0.0625
23.6637	0.0623
23.6937	0.0621
23.7237	0.0619
23.7538	0.0616
23.7838	0.0614
23.8138	0.0612
23.8438	0.0610
23.8739	0.0608
23.9039	0.0605
23.9339	0.0603
23.9640	0.0601
23.9940	0.0599
24.0240	0.0597
24.0541	0.0595
24.0841	0.0593
24.1141	0.0590
24.1441	0.0588
24.1742	0.0586
24.2042	0.0584
24.2342	0.0582
24.2643	0.0580
24.2943	0.0578
24.3243	0.0576
24.3544	0.0574
24.3844	0.0572
24.4144	0.0570
24.4444	0.0568
24.4745	0.0566
24.5045	0.0564
24.5345	0.0562
24.5646	0.0560
24.5946	0.0558
24.6246	0.0556
24.6547	0.0554
24.6847	0.0552
24.7147	0.0550
24.7447	0.0548
24.7748	0.0546
24.8048	0.0544
24.8348	0.0542
24.8649	0.0540
24.8949	0.0538
24.9249	0.0536
24.9550	0.0534
24.9850	0.0532
25.0150	0.0530
25.0450	0.0528
25.0751	0.0527
25.1051	0.0525
25.1351	0.0523
25.1652	0.0521
25.1952	0.0519
25.2252	0.0517
25.2553	0.0515
25.2853	0.0514
25.3153	0.0512
25.3453	0.0510
25.3754	0.0508
25.4054	0.0506
25.4354	0.0504
25.4655	0.0503
25.4955	0.0501
25.5255	0.0499
25.5556	0.0497
25.5856	0.0495
25.6156	0.0494
25.6456	0.0492
25.6757	0.0490
25.7057	0.0488
25.7357	0.0487
25.7658	0.0485
25.7958	0.0483
25.8258	0.0481
25.8559	0.0480
25.8859	0.0478
25.9159	0.0476
25.9459	0.0475
25.9760	0.0473
26.0060	0.0471
26.0360	0.0470
26.0661	0.0468
26.0961	0.0466
26.1261	0.0465
26.1562	0.0463
26.1862	0.0461
26.2162	0.0460
26.2462	0.0458
26.2763	0.0456
26.3063	0.0455
26.3363	0.0453
26.3664	0.0451
26.3964	0.0450
26.4264	0.0448
26.4565	0.0447
26.4865	0.0445
26.5165	0.0443
26.5465	0.0442
26.5766	0.0440
26.6066	0.0439
26.6366	0.0437
26.6667	0.0436
26.6967	0.0434
26.7267	0.0432
26.7568	0.0431
26.7868	0.0429
26.8168	0.0428
26.8468	0.0426
26.8769	0.0425
26.9069	0.0423
26.9369	0.0422
26.9670	0.0420
26.9970	0.0419
27.0270	0.0417
27.0571	0.0416
27.0871	0.0414
27.1171	0.0413
27.1471	0.0411
27.1772	0.0410
27.2072	0.0408
27.2372	0.0407
27.2673	0.0405
27.2973	0.0404
27.3273	0.0403
27.3574	0.0401
27.3874	0.0400
27.4174	0.0398
27.4474	0.0397
27.4775	0.0395
27.5075	0.0394
27.5375	0.0393
27.5676	0.0391
27.5976	0.0390
27.6276	0.0388
27.6577	0.0387
27.6877	0.0386
27.7177	0.0384
27.7477	0.0383
27.7778	0.0382
27.8078	0.0380
27.8378	0.0379
27.8679	0.0377
27.8979	0.0376
27.9279	0.0375
27.9580	0.0373
27.9880	0.0372
28.0180	0.0371
28.0480	0.0369
28.0781	0.0368
28.1081	0.0367
28.1381	0.0366
28.1682	0.0364
28.1982	0.0363
28.2282	0.0362
28.2583	0.0360
28.2883	0.0359
28.3183	0.0358
28.3483	0.0356
28.3784	0.0355
28.4084	0.0354
28.4384	0.0353
28.4685	0.0351
28.4985	0.0350
28.5285	0.0349
28.5586	0.0348
28.5886	0.0346
28.6186	0.0345
28.6486	0.0344
28.6787	0.0343
28.7087	0.0341
28.7387	0.0340
28.7688	0.0339
28.7988	0.0338
28.8288	0.0337
28.8589	0.0335
28.8889	0.0334
28.9189	0.0333
28.9489	0.0332
28.9790	0.0331
29.0090	0.0329
29.0390	0.0328
29.0691	0.0327
29.0991	0.0326
29.1291	0.0325
29.1592	0.0324
29.1892	0.0322
29.2192	0.0321
29.2492	0.0320
29.2793	0.0319
29.3093	0.0318
29.3393	0.0317
29.3694	0.0316
29.3994	0.0315
29.4294	0.0313
29.4595	0.0312
29.4895	0.0311
29.5195	0.0310
29.5495	0.0309
29.5796	0.0308
29.6096	0.0307
29.6396	0.0306
29.6697	0.0305
29.6997	0.0303
29.7297	0.0302
29.7598	0.0301
29.7898	0.0300
29.8198	0.0299
29.8498	0.0298
29.8799	0.0297
29.9099	0.0296
29.9399	0.0295
29.9700	0.0294
30.0000	0.0293
